Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
TargetScan_microRNA_2017,mmu-miR-219-5p,1/1239,0.6169636041954099,0.7941220494982242,0,0,1.0816408954534964,0.5223733274241393,CD200R1
TargetScan_microRNA_2017,hsa-miR-4661-5p,1/1241,0.6175758727033097,0.7941220494982242,0,0,1.0797811059907834,0.5204041183332466,CD200R1
TargetScan_microRNA_2017,mmu-miR-411,1/1241,0.6175758727033097,0.7941220494982242,0,0,1.0797811059907834,0.5204041183332466,DUSP1
TargetScan_microRNA_2017,mmu-miR-190,1/1246,0.6191025499217387,0.7941220494982242,0,0,1.0751577739529548,0.5155213260790489,CREBRF
TargetScan_microRNA_2017,mmu-miR-190b,1/1246,0.6191025499217387,0.7941220494982242,0,0,1.0751577739529548,0.5155213260790489,CREBRF
TargetScan_microRNA_2017,hsa-miR-638,1/1270,0.6263517436583507,0.7941220494982242,0,0,1.0534729258133513,0.4928601182368781,TSPAN1
TargetScan_microRNA_2017,hsa-miR-548ad,1/1272,0.6269499937048215,0.7941220494982242,0,0,1.0517028211756771,0.4910279488242025,CREBRF
TargetScan_microRNA_2017,hsa-miR-554,1/1276,0.6281438126821343,0.7941220494982242,0,0,1.0481792717086835,0.4873888311108286,INHBE
TargetScan_microRNA_2017,mmu-miR-1198-3p,1/1285,0.6308168803103673,0.7941220494982242,0,0,1.0403315531820203,0.4793220103542913,CREBRF
TargetScan_microRNA_2017,mmu-miR-1195,1/1290,0.6322941576517586,0.7941220494982242,0,0,1.0360190623960988,0.4749117119457501,CREBRF
TargetScan_microRNA_2017,hsa-miR-744,1/1290,0.6322941576517586,0.7941220494982242,0,0,1.0360190623960988,0.4749117119457501,TSPYL2
TargetScan_microRNA_2017,hsa-miR-4540,1/1329,0.643629001746832,0.7941220494982242,0,0,1.0034961273666092,0.4421733115237387,CREBRF
TargetScan_microRNA_2017,hsa-miR-325,1/1334,0.6450583669714108,0.7941220494982242,0,0,0.9994641517522238,0.4381795512237738,PLA2G4C
TargetScan_microRNA_2017,mmu-miR-2183,1/1335,0.6453435971122315,0.7941220494982242,0,0,0.9986613835939172,0.4373861182903479,INHBE
TargetScan_microRNA_2017,mmu-miR-3079-5p,1/1337,0.6459134157630573,0.7941220494982242,0,0,0.9970594525235243,0.4358045321550844,CREBRF
TargetScan_microRNA_2017,mmu-miR-698,1/1351,0.6498782848326585,0.7941220494982242,0,0,0.985978835978836,0.4249274840398968,INHBE
TargetScan_microRNA_2017,mmu-miR-1193-5p,1/1352,0.6501598981864749,0.7941220494982242,0,0,0.9851961509992598,0.4241633451506137,CREBRF
