Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label,library
GO_Biological_Process_2023,Regulation Of Cell Adhesion (GO:0030155),3/144,0.0110565135036623,0.1243135285330652,0,0,6.904429717474712,31.10263012047384,DUSP1;LPXN;RND1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,"Negative Regulation Of Gene Expression, Epigenetic (GO:0045814)",2/51,0.0116197041701198,0.1243135285330652,0,0,13.09216589861751,58.32629278722786,SIRT1;HDAC9,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,SMAD Protein Signal Transduction (GO:0060395),2/51,0.0116197041701198,0.1243135285330652,0,0,13.09216589861751,58.32629278722786,FOS;INHBE,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Metabolic Process (GO:0009892),2/53,0.0125071152315147,0.1243135285330652,0,0,12.577482605945605,55.10770647719242,IL15;BMAL1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Response To Peptide Hormone (GO:0043434),2/55,0.0134232676752466,0.1243135285330652,0,0,12.101643335362144,52.16734881176619,CYP11A1;SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Anterior/Posterior Pattern Specification (GO:0009952),2/59,0.0153402341638937,0.1243135285330652,0,0,11.250141482739108,46.99494846766079,BHLHE40;BHLHE41,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Lipoprotein Lipase Activity (GO:0051005),1/5,0.0158993733235186,0.1243135285330652,0,0,79.0952380952381,327.57099739379095,HDAC9,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Meiotic Cell Cycle (GO:0051447),1/5,0.0158993733235186,0.1243135285330652,0,0,79.0952380952381,327.57099739379095,DUSP1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Monocyte Chemotaxis (GO:0090027),1/5,0.0158993733235186,0.1243135285330652,0,0,79.0952380952381,327.57099739379095,DUSP1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Glucocorticoid Biosynthetic Process (GO:0006704),1/5,0.0158993733235186,0.1243135285330652,0,0,79.0952380952381,327.57099739379095,CYP11A1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane (GO:0010746),1/5,0.0158993733235186,0.1243135285330652,0,0,79.0952380952381,327.57099739379095,IRS2,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Macrophage Apoptotic Process (GO:2000109),1/5,0.0158993733235186,0.1243135285330652,0,0,79.0952380952381,327.57099739379095,SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,interleukin-17A-mediated Signaling Pathway (GO:0038173),1/5,0.0158993733235186,0.1243135285330652,0,0,79.0952380952381,327.57099739379095,TRAF3IP2,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Mitotic Spindle Checkpoint (GO:1903504),1/5,0.0158993733235186,0.1243135285330652,0,0,79.0952380952381,327.57099739379095,DUSP1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Peripheral Nervous System Neuron Development (GO:0048935),1/5,0.0158993733235186,0.1243135285330652,0,0,79.0952380952381,327.57099739379095,ISL2,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of B Cell Receptor Signaling Pathway (GO:0050859),1/5,0.0158993733235186,0.1243135285330652,0,0,79.0952380952381,327.57099739379095,LPXN,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902043),1/5,0.0158993733235186,0.1243135285330652,0,0,79.0952380952381,327.57099739379095,PMAIP1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Macroautophagy (GO:0016239),2/64,0.0178912158775344,0.1243135285330652,0,0,10.340270551508844,41.6035141887508,SESN1;SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Cysteine-Type Endopeptidase Activity (GO:2001056),2/64,0.0178912158775344,0.1243135285330652,0,0,10.340270551508844,41.6035141887508,PMAIP1;SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),2/65,0.0184215746741808,0.1243135285330652,0,0,10.175627240143369,40.64382372305028,CXCL6;CXCL1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Response To Reactive Oxygen Species (GO:0000302),2/66,0.0189585451179352,0.1243135285330652,0,0,10.016129032258064,39.7189648796526,FOS;SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of p38MAPK Cascade (GO:1903753),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,DUSP1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,White Fat Cell Differentiation (GO:0050872),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I (GO:0019885),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,TAP1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Intracellular Triglyceride Homeostasis (GO:0035356),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
