symbol,log2FoldChange,pvalue,mean_zikv,mean_mock,padj
PPTC7,0.9400581757100039,3.4865119479703684e-05,3.709182374931909,2.769124199221905,0.004395382221679916
STRIP1,0.5585979182192093,3.58189131096982e-05,3.5001139942181974,2.941516075998988,0.004481673180890885
RNF115,0.5129473082419058,3.692746961065673e-05,2.6123528339203794,2.0994055256784736,0.004521837123919037
VMP1,-1.272238584981646,3.704010931709798e-05,4.27015156336438,5.542390148346026,0.004521837123919037
OTUD4,0.7030742133372305,3.719136731240142e-05,3.0781777912111306,2.3751035778739,0.004521837123919037
PLCB2,-1.8146246377140027,3.741023889170607e-05,2.4957549020878806,4.310379539801883,0.004521837123919037
AEBP2,0.3772122330461569,3.749855916716707e-05,2.1835466654411713,1.8063344323950143,0.004521837123919037
OASL,3.9977016163212085,3.8172301615113446e-05,4.295788185136156,0.29808656881494755,0.004555940152617556
ARNTL2,1.266154693728338,3.857603388774379e-05,4.301911184101083,3.035756490372745,0.004555940152617556
SACS,-0.9028619550405699,3.8895088510061306e-05,0.8310481578422229,1.7339101128827927,0.004555940152617556
YLPM1,-0.5122642209298789,3.925870839530016e-05,2.1859649344721914,2.6982291554020703,0.004555940152617556
LINC01094,-1.1920564729147762,3.9281646745774325e-05,0.9129900166374348,2.105046489552211,0.004555940152617556
BAZ1A,0.6803722106900292,3.9932165313303136e-05,4.0214025396432245,3.3410303289531953,0.004555940152617556
SLC22A1,0.8066494261402533,4.006057912609477e-05,2.0725842900293965,1.2659348638891432,0.004555940152617556
CLEC4A,-1.6436582431480944,4.011050447238831e-05,2.034445178928437,3.678103422076531,0.004555940152617556
CD40,1.6872141316772922,4.024537001591135e-05,5.475660239348651,3.7884461076713585,0.004555940152617556
SLC26A2,-1.0363835748749588,4.068433472912333e-05,1.0268253428909595,2.0632089177659183,0.004574513609644198
RPLP1P6,0.5746390612880957,4.142374798243669e-05,0.6919561744310887,0.11731711314299295,0.004626393222655899
HSPE1P18,-1.139445202039372,4.2215306331639974e-05,0.16935883189465856,1.3088040339340306,0.004683366084432139
NEAT1,-1.6951988777010056,4.330478893909498e-05,5.349922635857159,7.045121513558165,0.004724092318594996
PIKFYVE,0.2846832515253439,4.356439950507234e-05,3.414704293118109,3.130021041592765,0.004724092318594996
TMEM251,-1.0923293486997139,4.386349978200538e-05,3.787877056750368,4.880206405450082,0.004724092318594996
B4GALT4,0.7521724130552419,4.3927421543469146e-05,2.868062968960042,2.1158905559048002,0.004724092318594996
NORAD,-1.3296119946617013,4.416376282370022e-05,2.6914486299546097,4.021060624616311,0.004724092318594996
GAB3,-0.9081002866328827,4.4285704086342134e-05,1.9610739180231807,2.8691742046560633,0.004724092318594996
ZC3H12A,1.2029715110638808,4.643260242869773e-05,4.777693811103282,3.574722300039401,0.004921560108381904
AP3M1,-0.7854194433909663,4.720007547737562e-05,2.253198043492495,3.0386174868834614,0.004942141068699193
SLC33A1,0.799524127028679,4.72207457438358e-05,4.007118504231744,3.2075943772030646,0.004942141068699193
RAD9A,1.5314610642291095,4.836978655037073e-05,3.104423932150174,1.5729628679210645,0.005030760112404496
TYW5,0.7827756723984751,5.009732578560344e-05,1.8521476140873858,1.0693719416889107,0.0051780720397405396
TRIM26,0.9175596239871648,5.05917263081939e-05,3.696587373860795,2.77902774987363,0.005196894552436139
KIAA0141,-0.8100104109177124,5.112107307790524e-05,1.8022129932837552,2.6122234042014676,0.005199504282034423
MRE11,-0.5270812092700587,5.124203486891686e-05,1.4495738170536072,1.976655026323666,0.005199504282034423
ZNF221,-0.5890627331015432,5.463630266581283e-05,0.42722630208225904,1.0162890351838023,0.0054654464730286125
COPS7B,-0.4877771344935673,5.5271029713907306e-05,1.6429660424096952,2.1307431769032625,0.0054654464730286125
RP11-373D23.3,0.9959510855411867,5.5756633780071785e-05,1.3482028488332976,0.35225176329211083,0.0054654464730286125
PLK3,1.1072672039055012,5.578474135833414e-05,4.497361970870922,3.390094766965421,0.0054654464730286125
HHEX,-1.0844401310379668,5.583004315275198e-05,0.7042808236720641,1.788720954710031,0.0054654464730286125
TGFBR2,-0.9344471812996056,5.5930299323014645e-05,3.453800412957763,4.388247594257368,0.0054654464730286125
IFIT3,2.630230511221999,5.616197024745464e-05,4.980451982227352,2.3502214710053533,0.0054654464730286125
PDHX,0.8140869654397225,5.688773023142974e-05,3.66713491099783,2.8530479455581075,0.005476218368839741
TNFRSF9,1.2842945300140043,5.7803514992047876e-05,4.215964164771587,2.931669634757583,0.005476218368839741
MOGS,-0.8355766503798061,5.78223871536792e-05,2.7528917637432277,3.588468414123034,0.005476218368839741
ANKRD27,-0.593672749750934,5.7995426945191294e-05,2.2185435955963104,2.8122163453472444,0.005476218368839741
RP3-393E18.2,3.059130492273705,5.842086103281173e-05,3.6441885530615936,0.5850580607878887,0.005476218368839741
CCL20,2.2808096932186155,5.8563161635474714e-05,2.6209920787885013,0.3401823855698856,0.005476218368839741
TMC6,-0.4629550853158677,5.8576219557326716e-05,3.208763208358227,3.6717182936740946,0.005476218368839741
FIG4,-0.8424548892999759,5.919687245441081e-05,2.794903170744481,3.637358060044457,0.005503324885552236
RP5-899E9.1,-0.7829025635343196,5.987056702708532e-05,1.3747896040513754,2.157692167585695,0.005504726307802129
GPBP1,0.5767138391861004,5.987353294346405e-05,3.9207009863298525,3.343987147143752,0.005504726307802129
SAFB,0.8557397076741649,6.056073882973754e-05,3.7464608112648015,2.8907211035906366,0.0055073564912626076
IRF8,0.9550215829273849,6.056404290012963e-05,6.000502533015142,5.045480950087757,0.0055073564912626076
SAMD8,0.5063330953057776,6.147215709433661e-05,2.954528292189895,2.4481951968841176,0.005559555251124215
RP11-227G15.11,0.7810022592078948,6.342700354875659e-05,1.1472363190826975,0.36623405987480273,0.0057053446813776125
SRSF10,0.38760137799105543,6.398335432186791e-05,3.373309594555116,2.9857082165640607,0.005724446232635504
ZIK1,-0.27959124510672717,6.474628412052815e-05,0.45356046514079706,0.7331517102475242,0.005761726813100048
TMEM261,-0.9243031520066292,6.567729233727963e-05,2.206619637905445,3.130922789912074,0.005813488413748246
GS1-114I9.1,0.9812789302116929,6.632577115702883e-05,1.6488049898315356,0.6675260596198427,0.005839826231873634
AC009133.21,0.9164881980248176,6.697071016535235e-05,1.3896927481832277,0.4732045501584102,0.005855157868866336
