symbol,name,log2FC,baseMean,stat,pvalue,padj,is_ISG,is_proviral,is_antiviral
PRTG,protogenin,-1.1210650237983475,353.25202316735067,-4.070915517961237,4.6828731475215325e-05,0.002295125627405,False,False,False
FICD,FIC domain protein adenylyltransferase,1.4480285811958848,739.3879605742477,4.070539353658634,4.690441640880551e-05,0.002295125627405,False,False,False
CCSAP,"centriole, cilia and spindle associated protein",-1.2030198330681992,282.5538347175592,-4.066918794784544,4.763883412346964e-05,0.0023231602294923,False,False,False
FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit",2.461143955469898,68.7767403920415,4.05498975267334,5.0136500658170455e-05,0.002391748108468,False,False,False
PAIP1P2,PAIP1 pseudogene 2,-1.2412708200781222,428.8164984769148,-4.05566846848505,4.9991125219878814e-05,0.002391748108468,False,False,False
PLA2G4C,phospholipase A2 group IVC,1.9160924832345176,130.9866569722637,4.046396064338365,5.201220237515898e-05,0.0024613406031876,False,False,False
KLHDC7B,kelch domain containing 7B,3.723757654774262,42.55593099298607,4.04028402528136,5.338650840755877e-05,0.0024935659413998,False,False,False
EPDR1,ependymin related 1,-1.1896483159240168,263.1213638154178,-4.041578599543148,5.3092579118307446e-05,0.0024935659413998,False,False,False
AAK1,AP2 associated kinase 1,1.0721700055850745,1016.2095409210742,4.037817717935074,5.3950748098601794e-05,0.0025036627811176,False,False,False
ZFP1,ZFP1 zinc finger protein,-1.4369316275490869,212.64461943253812,-4.038473592732954,5.380014860577394e-05,0.0025036627811176,False,False,False
ALPI,"alkaline phosphatase, intestinal",1.240731204911083,190.17289670762148,4.028796475078088,5.6063126977962855e-05,0.0025850132843108,False,False,False
SPAG5,sperm associated antigen 5,-1.1608049666378364,2942.0218401274483,-4.0267791727098405,5.654609264435785e-05,0.002598952360325,False,False,False
CGA,"glycoprotein hormones, alpha polypeptide",-1.428917893646234,229.641491278222,-4.025844926708663,5.6771094782906136e-05,0.0026009839794486,False,False,False
ZNF695,zinc finger protein 695,-1.276230113249193,365.7663153335373,-4.022949920999619,5.747372045813906e-05,0.0026229810984019,False,False,False
NAV2,neuron navigator 2,1.0238728491796365,558.4484466057997,4.021624247105915,5.779820715928141e-05,0.0026229810984019,False,False,False
ULBP2,UL16 binding protein 2,1.133155944656556,389.9351506336328,4.021864178008292,5.773935069434001e-05,0.0026229810984019,False,False,False
ATL2,atlastin GTPase 2,-1.054399834697009,936.5470676910452,-4.002685451488748,6.262754212600042e-05,0.0027893492910979,False,False,False
,,1.4156615351788022,174.01716498740453,3.9941159133015662,6.493609212236569e-05,0.0028655540529826,False,False,False
ZFAS1,ZNFX1 antisense RNA 1,1.05666616880861,6489.94016066232,3.985648937855852,6.729594897146903e-05,0.0029533822188783,False,False,False
CACNB2-AS1,CACNB2 antisense RNA 1,1.014175509502225,373.4724215423252,3.985504326131033,6.73369503539627e-05,0.0029533822188783,False,False,False
ZNF680,zinc finger protein 680,-1.3617109857229912,268.99075768042667,-3.980932168240441,6.864553790761976e-05,0.0029834885448308,False,False,False
LINC02484,long intergenic non-protein coding RNA 2484,-1.0059150052328245,309.6848141287555,-3.967210627162465,7.271872262118299e-05,0.0031134867369891,False,False,False
