symbol,sample_1,sample_2,value_1,value_2,log2FoldChange,pvalue,sig_flag,padj
FEZF1,Mock,ZIKV,105.086,73.7323,-0.511199,0.0037,yes,0.0037
TRIM59,Mock,ZIKV,7.94332,5.57401,-0.511025,5e-05,yes,5e-05
FAM41C,Mock,ZIKV,1.47419,1.03475,-0.510638,0.0668,no,0.0668
TMEM237,Mock,ZIKV,14.035,9.85219,-0.510513,5e-05,yes,5e-05
HIATL2,Mock,ZIKV,2.95788,2.07644,-0.510453,0.1002,no,0.1002
MRPL19,Mock,ZIKV,7.37508,5.1785,-0.510125,5e-05,yes,5e-05
HIST1H2AG,Mock,ZIKV,1.6493,1.15815,-0.510027,0.3362,no,0.3362
NUDT16P1,Mock,ZIKV,0.434509,0.305132,-0.509954,1.0,no,1.0
TMEM248,Mock,ZIKV,26.5648,18.6594,-0.509612,5e-05,yes,5e-05
MIS18A,Mock,ZIKV,14.4436,10.1463,-0.509469,0.0001,yes,0.0001
RPSAP9,Mock,ZIKV,1.57266,1.10485,-0.509349,0.08055,no,0.08055
CARD6,Mock,ZIKV,0.0302627,0.021261,-0.509333,1.0,no,1.0
MND1,Mock,ZIKV,12.9541,9.10169,-0.509199,0.00185,yes,0.00185
UBE2N,Mock,ZIKV,40.5985,28.5259,-0.509153,5e-05,yes,5e-05
ALOX5,Mock,ZIKV,0.0290217,0.0203921,-0.509125,1.0,no,1.0
"LOC100507433,ZNF540",Mock,ZIKV,4.04058,2.83944,-0.508954,0.0286,no,0.0286
ZNF32,Mock,ZIKV,18.4168,12.9421,-0.508946,0.0008,yes,0.0008
A2M,Mock,ZIKV,0.0823639,0.0578902,-0.508692,1.0,no,1.0
ARHGEF26-AS1,Mock,ZIKV,2.04716,1.43914,-0.508422,0.3053,no,0.3053
DHRS4,Mock,ZIKV,2.1595,1.51821,-0.508324,0.19515,no,0.19515
PLIN5,Mock,ZIKV,7.29602,5.13001,-0.508147,0.0004,yes,0.0004
SEPT6,Mock,ZIKV,24.7367,17.3969,-0.50782,5e-05,yes,5e-05
EIF2S3,Mock,ZIKV,56.1717,39.507,-0.507736,5e-05,yes,5e-05
DLG5-AS1,Mock,ZIKV,1.11624,0.785151,-0.507604,0.0357,no,0.0357
MICALL2,Mock,ZIKV,7.41401,5.2151,-0.507561,5e-05,yes,5e-05
MALAT1,Mock,ZIKV,191.888,134.979,-0.507525,5e-05,yes,5e-05
IGSF9,Mock,ZIKV,21.3408,15.014,-0.507305,5e-05,yes,5e-05
GNAL,Mock,ZIKV,3.22289,2.26773,-0.507108,0.09855,no,0.09855
DHX33,Mock,ZIKV,8.73451,6.14616,-0.507041,5e-05,yes,5e-05
VMA21,Mock,ZIKV,16.5036,11.6134,-0.506989,5e-05,yes,5e-05
HYMAI,Mock,ZIKV,1.99841,1.40657,-0.506677,0.4924,no,0.4924
COL8A1,Mock,ZIKV,0.0473028,0.0332939,-0.506665,1.0,no,1.0
ROPN1B,Mock,ZIKV,0.174124,0.122564,-0.506581,1.0,no,1.0
TMEM164,Mock,ZIKV,12.6891,8.93357,-0.506285,5e-05,yes,5e-05
BSN-AS2,Mock,ZIKV,0.05375,0.0378458,-0.50613,1.0,no,1.0
ICOSLG,Mock,ZIKV,0.0936306,0.0659355,-0.505923,1.0,no,1.0
CCDC109B,Mock,ZIKV,13.9162,9.80009,-0.505899,0.0004,yes,0.0004
IGLL1,Mock,ZIKV,0.0495493,0.0348942,-0.505878,1.0,no,1.0
CD44,Mock,ZIKV,0.341493,0.240529,-0.505646,1.0,no,1.0
PTPRCAP,Mock,ZIKV,1.98669,1.39959,-0.505365,0.1347,no,0.1347
BTC,Mock,ZIKV,0.0128535,0.00905637,-0.505158,1.0,no,1.0
SFRP5,Mock,ZIKV,0.00857077,0.00603887,-0.505146,1.0,no,1.0
FAM92A1P2,Mock,ZIKV,0.00639449,0.00450551,-0.50514,1.0,no,1.0
KCNU1,Mock,ZIKV,0.00406951,0.00286736,-0.505134,1.0,no,1.0
ANXA1,Mock,ZIKV,8.6972,6.12836,-0.50505,0.0013,yes,0.0013
CACNG5,Mock,ZIKV,0.464281,0.327218,-0.504748,1.0,no,1.0
ESYT1,Mock,ZIKV,27.3214,19.2562,-0.504711,5e-05,yes,5e-05
TUBB,Mock,ZIKV,1363.21,960.875,-0.504584,5e-05,yes,5e-05
HAUS1,Mock,ZIKV,46.2178,32.5827,-0.504343,5e-05,yes,5e-05
CCDC170,Mock,ZIKV,0.197019,0.138903,-0.50425,1.0,no,1.0
MIR3176,Mock,ZIKV,4.92716,3.47455,-0.503928,1.0,no,1.0
SNRPB,Mock,ZIKV,136.099,95.9768,-0.503896,5e-05,yes,5e-05
RABL6,Mock,ZIKV,53.6607,37.8442,-0.503792,5e-05,yes,5e-05
CREB3L4,Mock,ZIKV,7.81124,5.50945,-0.503643,0.2134,no,0.2134
ZNF90,Mock,ZIKV,2.85315,2.01289,-0.503292,0.00185,yes,0.00185
IDH3B,Mock,ZIKV,38.6652,27.2796,-0.503215,5e-05,yes,5e-05
CCDC69,Mock,ZIKV,0.367332,0.259178,-0.503144,1.0,no,1.0
TTC30A,Mock,ZIKV,4.19793,2.96209,-0.50306,0.0003,yes,0.0003
LYRM1,Mock,ZIKV,18.273,12.894,-0.503006,0.00065,yes,0.00065
FZD7,Mock,ZIKV,64.9053,45.8015,-0.502942,5e-05,yes,5e-05
CHRNE,Mock,ZIKV,0.886848,0.625846,-0.502879,0.5585,no,0.5585
SNRPF,Mock,ZIKV,75.4453,53.2529,-0.50257,5e-05,yes,5e-05
PREX2,Mock,ZIKV,10.6237,7.50018,-0.502289,5e-05,yes,5e-05
SEC14L5,Mock,ZIKV,0.461823,0.326135,-0.501872,1.0,no,1.0
LTBP4,Mock,ZIKV,58.5136,41.3283,-0.501643,5e-05,yes,5e-05
ABHD14B,Mock,ZIKV,1.98177,1.39989,-0.501475,0.0227,yes,0.0227
TCTN1,Mock,ZIKV,18.3962,12.9953,-0.501422,5e-05,yes,5e-05
SLIT3,Mock,ZIKV,2.99808,2.11802,-0.501322,5e-05,yes,5e-05
PP7080,Mock,ZIKV,12.3724,8.74097,-0.501259,0.0001,yes,0.0001
MIR3661,Mock,ZIKV,1676.49,1184.49,-0.501174,0.8602,no,0.8602
SFTA1P,Mock,ZIKV,0.16438,0.116141,-0.501155,1.0,no,1.0
GMIP,Mock,ZIKV,18.8538,13.3246,-0.500759,5e-05,yes,5e-05
C7orf55,Mock,ZIKV,8.12241,5.74121,-0.500554,0.42715,no,0.42715
HEPACAM2,Mock,ZIKV,0.192643,0.136178,-0.500436,1.0,no,1.0
